INVESTOR_ID,FULL_NAME,EMAIL,COMPANY_NAME,INVESTING_AMOUNT,CONTINENT
86,Tallia Rasher,trasher2d@theglobeandmail.com,"Ratke, Larson and Hudson",71715.06,South America
87,Raf Gruszczak,rgruszczak2e@lulu.com,"Shanahan, Lynch and Braun",74576.6,Europe
88,Maryrose Banker,mbanker2f@about.me,Roberts-Sawayn,53285.6,Europe
89,Humphrey Pellamont,hpellamont2g@nba.com,Dickinson Group,18007.77,South America
90,Dieter Meritt,dmeritt2h@sun.com,Ullrich-Hermiston,36567.79,Asia
91,Gage Polden,gpolden2i@mysql.com,Yost Inc,49349.33,South America
92,Melody Coneau,mconeau2j@i2i.jp,"Murphy, Rath and Feil",99009.42,Australia
93,Rand Curnucke,rcurnucke2k@java.com,Renner-Schaefer,52159.55,Asia
94,Marylynne Dumbar,mdumbar2l@icq.com,"O'Conner, Lindgren and Strosin",47322.9,Asia
95,Alexine Barwell,abarwell2m@wp.com,"Gerhold, Sipes and Witting",76374.44,North America
96,Janaye Tomlins,jtomlins2n@sourceforge.net,Veum-Bosco,76269.25,Europe
97,Brigham Weavill,bweavill2o@unblog.fr,"Schneider, Hudson and McDermott",80644.38,North America
98,Roanna Saddleton,rsaddleton2p@merriam-webster.com,Marks LLC,25690.82,Europe
99,Michail Brunsden,mbrunsden2q@a8.net,Kohler-Cronin,12229.68,Europe
100,Ailyn Jemison,ajemison2r@163.com,Simonis LLC,26643.74,North America
